source,target,distance,duration,pm
8,10,1063,802,68.5036702937
9,235,592,472,80.4685940834
9,83,685,479,76.31658127680001
9,108,921,662,79.4089913448
9,205,1022,765,75.9494451633
9,217,1324,959,60.296474374700004
9,76,1839,1352,93.6568443297
9,265,1710,1236,55.601103425699996
9,337,2217,1615,60.25158996800001
9,229,1900,1421,73.3096244056
10,275,423,299,73.46672758369998
10,26,480,328,77.2854769087
10,87,880,637,95.77306695530001
10,136,788,565,63.59076869720001
10,16,1034,733,66.8975586539
10,315,867,600,79.9585255857
10,245,1032,689,51.38666189510001
10,78,992,724,68.670324345
10,57,1226,856,79.7970072921
11,289,400,302,77.23967801100001
11,116,594,490,68.9461574578
11,15,522,374,82.66253574779999
11,55,538,456,71.0529137571
11,82,769,630,73.57972019600001
11,105,789,613,80.3006708206
11,301,872,685,71.1340580299
11,124,1022,764,85.2104830656
11,84,1326,1015,68.175690578
12,317,399,257,62.1369312726
12,251,758,595,71.9381969224
12,210,995,692,70.9531500802
12,118,1679,1239,77.6481734864
12,0,2020,1498,63.027657875
12,166,2109,1579,77.7476749914
12,149,1567,1174,81.7813531621
12,130,1724,1229,79.4480830286
12,319,1766,1317,65.854832127
13,330,635,431,65.42609246
13,125,1051,828,78.4134348602
13,61,1244,906,72.3877267642
13,91,1512,1080,67.9098923457
13,95,1096,782,64.9384285121
13,238,1355,1038,75.8402680207
13,93,1275,949,58.747159598
13,283,1888,1456,60.528156464700004
13,277,1565,1214,81.78722889689999
14,265,430,311,55.601103425699996
14,92,864,621,77.1766881104
14,305,777,577,76.0527870076
14,220,992,735,61.1917454339
14,21,839,653,88.2752636484
14,217,1006,755,60.296474374700004
14,287,1033,738,76.2765884656
14,337,1104,828,60.25158996800001
14,23,1241,945,86.9757323843
15,11,519,400,61.66656297390001
15,55,725,603,71.0529137571
15,3,819,597,80.3057668322
15,289,751,572,77.23967801100001
15,116,1015,816,68.9461574578
15,82,992,805,73.57972019600001
15,177,1090,829,82.8829616046
15,253,1281,1016,78.0665201707
15,105,1252,979,80.3006708206
16,72,641,433,58.2540208372
16,87,575,477,95.77306695530001
16,267,458,404,67.5158540742
16,115,789,576,54.8618918342
16,69,584,386,89.81978876790001
16,136,829,780,63.59076869720001
16,10,1035,959,68.5036702937
16,214,1037,745,67.8202577155
16,57,852,633,79.7970072921
17,325,297,219,64.669227351
17,273,367,297,93.700298358
17,22,398,280,60.9683429662
17,215,610,439,86.3283618559
17,168,682,512,68.8737698393
17,346,844,650,69.3739588173
17,295,632,497,70.154086959
17,167,774,587,75.1291291517
17,31,871,686,78.9811414735
18,47,475,351,77.6106889508
18,152,595,441,71.3841189542
18,214,667,512,67.8202577155
18,126,893,659,74.4471212377
18,338,677,534,60.8126910815
18,70,920,684,70.48351104449999
18,236,784,582,69.90468507770001
18,72,1336,1033,58.2540208372
18,148,1568,1187,83.6651037068
19,321,914,655,49.5888810612
19,37,1251,926,48.3707316667
19,164,1476,1079,65.5982412424
19,44,2172,1586,91.3705713807
19,347,4161,3036,80.5187830018
19,33,4124,3072,85.8128491799
19,42,5110,3844,63.0527347267
19,341,3444,2517,65.7374033112
19,229,1932,1466,73.3096244056
20,204,370,301,74.58484241859999
20,261,615,486,72.49729137770001
20,84,507,388,68.175690578
20,46,539,402,71.6928034532
20,38,787,593,80.2301821824
20,155,639,556,58.641771159399994
20,82,1099,874,73.57972019600001
20,201,1250,949,81.6700883909
20,151,765,616,67.51764459479999
21,23,436,318,86.9757323843
21,337,569,398,60.25158996800001
21,305,592,413,76.0527870076
21,171,613,472,58.4221086701
21,220,1013,722,61.1917454339
21,135,865,645,83.2225262497
21,90,988,709,73.878624965
21,345,1092,802,60.9452905171
21,14,839,591,76.777572239
22,215,481,378,86.3283618559
22,325,572,449,64.669227351
22,17,398,326,67.9958824949
22,167,591,436,75.1291291517
22,273,697,569,93.700298358
22,187,586,396,84.70942246770001
22,249,737,528,67.1043408291
22,122,866,653,64.462857676
22,346,956,731,69.3739588173
23,21,436,326,88.2752636484
23,135,429,330,83.2225262497
23,171,499,392,58.4221086701
23,345,672,497,60.9452905171
23,305,556,391,76.0527870076
23,337,770,555,60.25158996800001
23,220,977,700,61.1917454339
23,209,940,716,81.20876843479999
23,124,943,720,85.2104830656
24,110,696,495,55.635152385699996
24,84,598,460,68.175690578
24,46,762,554,71.6928034532
24,105,787,664,80.3006708206
24,209,938,724,81.20876843479999
24,34,646,440,85.3564679043
24,114,599,455,73.96164514670002
24,290,1017,745,80.1331186482
24,60,935,648,81.6161554528
25,148,477,352,83.6651037068
25,99,426,341,70.08880067359999
25,290,715,514,80.1331186482
25,38,691,501,80.2301821824
25,270,623,445,64.8311243828
25,112,845,631,79.8724751456
25,110,1088,781,55.635152385699996
25,261,1050,801,72.49729137770001
25,46,1202,880,71.6928034532
26,315,384,269,79.9585255857
26,10,480,377,68.5036702937
